,reason,total,delayed_time
0,공항혼잡에 의한 지연,8,64.75
1,기상-뇌전에 의한 지연,1,82.0
2,기상-바람에 의한 지연,3,122.67
3,기상-운고에 의한 지연,1,196.0
4,기상-태풍에 의한 지연,1,145.0
5,기상-항로에 의한 지연,1,75.0
6,기타에 의한 지연,5,143.6
7,보안검색에 의한 지연,2,65.0
8,승객하기에 의한 지연,16,75.19
9,에 의한 지연,14,93.0
10,연결-승객에 의한 지연,110,89.99
11,연결-항공기에 의한 지연,116,124.63
12,연결-화물연결에 의한 지연,3,238.67
13,정비-기체에 의한 지연,6,122.5
14,정비-기타에 의한 지연,1,86.0
15,정비-엔진에 의한 지연,11,167.64
16,정비-착륙바퀴에 의한 지연,2,89.5
17,정비-항공전자에 의한 지연,2,94.5
18,정비에 의한 지연,1,323.0
19,제방빙작업에 의한 지연,12,110.17
20,주기장혼잡(부족)에 의한 지연,2,84.5
21,지상조업에 의한 지연,1,98.0
22,항로혼잡에 의한 지연,48,69.88
23,화물탑재에 의한 지연,1,124.0
24,환자에 의한 지연,2,155.5
